ID,name,pos,Team Name,Game Num,Goal,Assist,Pts,TOI per Goal,+/-,PIM,HIT,SB,Shots on Goal,Shot Accuracy,ShA,GF,GA,GF%,SF,SA,SF%,FF,FA,FF%,CF,CA,CF%,FOW,FOT,FO%,ZEX,ZEX-Att,ZEX%,FOL,KEY,MISS,BLKD,GIVE,TAKE,TAKEN,HITTK,PENL,DRAWN,SERV,ZEXP,ZEXD,ZEN,ZEND,FZEX,FZEXD
,Zac Coulter,RW,WAT,1,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mike Moffat,D,WAT,2,0,0,0,655,0,0,0,0,0,,0,0,0,,6,6,50,7,6,53.8,9,6,60,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Joey Champigny,C,WAT,2,1,0,1,525,2,0,0,0,1,100,1,2,0,100,6,7,46.2,7,9,43.8,7,9,43.8,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Bignell,D,WAT,3,1,0,1,926,0,0,0,0,2,50,2,2,2,50,16,17,48.5,17,18,48.6,19,18,51.4,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Michael Morgan,RW,WAT,3,0,0,0,694,-1,2,0,0,1,0,1,1,2,33.3,11,14,44,12,14,46.2,13,14,48.1,0,1,0,0,0,,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
,Phillip Fife,LW,WAT,2,0,1,1,505,1,0,0,0,0,,0,1,0,100,3,8,27.3,3,8,27.3,3,8,27.3,0,0,,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Daniel Perigo,LW,WAT,3,0,0,0,582,0,4,0,0,0,,0,0,0,,8,9,47.1,8,9,47.1,9,9,50,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
,Nick Halagian,LW,WAT,3,2,0,2,630,1,4,0,0,5,40,5,4,1,80,15,9,62.5,15,9,62.5,17,9,65.4,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
,Tommy Tsicos,RW,WAT,3,0,0,0,644,-1,0,0,0,0,,0,0,1,0,6,10,37.5,6,10,37.5,7,10,41.2,2,2,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Markson Bechtold,C,WAT,3,0,1,1,547,2,4,0,0,0,,0,3,1,75,7,10,41.2,8,12,40,8,12,40,2,5,40,0,0,,3,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
,Conner Cole,LW,WAT,2,2,0,2,743,1,0,0,0,2,100,2,3,1,75,13,2,86.7,14,2,87.5,14,2,87.5,0,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ryan Haynes,D,WAT,3,0,0,0,906,2,0,0,0,0,,0,4,2,66.7,14,14,50,14,15,48.3,14,15,48.3,0,0,,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Eric Cimino,D,WAT,3,0,0,0,885,1,2,0,0,0,,0,3,1,75,13,16,44.8,14,17,45.2,15,17,46.9,0,0,,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Eric Diodati,D,WAT,2,0,0,0,660,0,0,0,0,1,0,1,1,2,33.3,4,12,25,5,12,29.4,5,12,29.4,0,0,,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cam Nicoll,C,WAT,3,0,0,0,2033,-4,2,0,0,0,,0,0,7,0,16,46,25.8,20,46,30.3,23,48,32.4,10,16,62.5,0,0,,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Kenny Turner,C,WAT,3,0,0,0,437,-1,0,0,0,1,0,1,0,1,0,7,6,53.8,7,6,53.8,7,6,53.8,5,5,100,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Mitchell Smith,LW,WAT,3,1,0,1,656,3,0,0,0,1,100,1,3,0,100,10,10,50,11,11,50,11,11,50,1,1,100,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Lee Dower,D,WAT,3,0,0,0,840,0,2,0,0,0,,0,2,1,66.7,13,13,50,14,14,50,14,14,50,0,0,,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Cole Murphy,LW,WAT,3,0,0,0,489,-2,2,0,0,0,,1,1,3,25,9,10,47.4,11,10,52.4,11,10,52.4,0,0,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Brandon Grandinetti,D,WAT,2,0,0,0,1229,2,4,0,0,1,0,1,4,1,80,18,6,75,18,6,75,19,6,76,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
,Michael Siddall,C,WAT,3,0,2,2,650,2,2,0,0,2,0,2,5,1,83.3,20,7,74.1,20,7,74.1,22,7,75.9,6,9,66.7,0,0,,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
